block_id,hardness,blast_resistance
minecraft:air,0,0
minecraft:stone,1.5,6
minecraft:granite,1.5,6
minecraft:polished_granite,1.5,6
minecraft:diorite,1.5,6
minecraft:polished_diorite,1.5,6
minecraft:andesite,1.5,6
minecraft:polished_andesite,1.5,6
minecraft:grass_block,0.6,0.6
minecraft:dirt,0.5,0.5
minecraft:coarse_dirt,0.5,0.5
minecraft:podzol,0.5,0.5
minecraft:cobblestone,2,6
minecraft:oak_planks,2,3
minecraft:spruce_planks,2,3
minecraft:birch_planks,2,3
minecraft:jungle_planks,2,3
minecraft:acacia_planks,2,3
minecraft:cherry_planks,2,3
minecraft:dark_oak_planks,2,3
minecraft:mangrove_planks,2,3
minecraft:bamboo_planks,2,3
minecraft:bamboo_mosaic,2,3
minecraft:oak_sapling,0,0
minecraft:spruce_sapling,0,0
minecraft:birch_sapling,0,0
minecraft:jungle_sapling,0,0
minecraft:acacia_sapling,0,0
minecraft:cherry_sapling,0,0
minecraft:dark_oak_sapling,0,0
minecraft:mangrove_propagule,0,0
minecraft:bedrock,-1,3600000
minecraft:water,100,100
minecraft:lava,100,100
minecraft:sand,0.5,0.5
minecraft:suspicious_sand,0.25,0.25
minecraft:red_sand,0.5,0.5
minecraft:gravel,0.6,0.6
minecraft:suspicious_gravel,0.25,0.25
minecraft:gold_ore,3,3
minecraft:deepslate_gold_ore,4.5,3
minecraft:iron_ore,3,3
minecraft:deepslate_iron_ore,4.5,3
minecraft:coal_ore,3,3
minecraft:deepslate_coal_ore,4.5,3
minecraft:nether_gold_ore,3,3
minecraft:oak_log,2,2
minecraft:spruce_log,2,2
minecraft:birch_log,2,2
minecraft:jungle_log,2,2
minecraft:acacia_log,2,2
minecraft:cherry_log,2,2
minecraft:dark_oak_log,2,2
minecraft:mangrove_log,2,2
minecraft:mangrove_roots,0.7,0.7
minecraft:muddy_mangrove_roots,0.7,0.7
minecraft:bamboo_block,2,2
minecraft:stripped_spruce_log,2,2
minecraft:stripped_birch_log,2,2
minecraft:stripped_jungle_log,2,2
minecraft:stripped_acacia_log,2,2
minecraft:stripped_cherry_log,2,2
minecraft:stripped_dark_oak_log,2,2
minecraft:stripped_oak_log,2,2
minecraft:stripped_mangrove_log,2,2
minecraft:stripped_bamboo_block,2,2
minecraft:oak_wood,2,2
minecraft:spruce_wood,2,2
minecraft:birch_wood,2,2
minecraft:jungle_wood,2,2
minecraft:acacia_wood,2,2
minecraft:cherry_wood,2,2
minecraft:dark_oak_wood,2,2
minecraft:mangrove_wood,2,2
minecraft:stripped_oak_wood,2,2
minecraft:stripped_spruce_wood,2,2
minecraft:stripped_birch_wood,2,2
minecraft:stripped_jungle_wood,2,2
minecraft:stripped_acacia_wood,2,2
minecraft:stripped_cherry_wood,2,2
minecraft:stripped_dark_oak_wood,2,2
minecraft:stripped_mangrove_wood,2,2
minecraft:oak_leaves,0.2,0.2
minecraft:spruce_leaves,0.2,0.2
minecraft:birch_leaves,0.2,0.2
minecraft:jungle_leaves,0.2,0.2
minecraft:acacia_leaves,0.2,0.2
minecraft:cherry_leaves,0.2,0.2
minecraft:dark_oak_leaves,0.2,0.2
minecraft:mangrove_leaves,0.2,0.2
minecraft:azalea_leaves,0.2,0.2
minecraft:flowering_azalea_leaves,0.2,0.2
minecraft:sponge,0.6,0.6
minecraft:wet_sponge,0.6,0.6
minecraft:glass,0.3,0.3
minecraft:lapis_ore,3,3
minecraft:deepslate_lapis_ore,4.5,3
minecraft:lapis_block,3,3
minecraft:dispenser,3.5,3.5
minecraft:sandstone,0.8,0.8
minecraft:chiseled_sandstone,0.8,0.8
minecraft:cut_sandstone,0.8,0.8
minecraft:note_block,0.8,0.8
minecraft:white_bed,0.2,0.2
minecraft:orange_bed,0.2,0.2
minecraft:magenta_bed,0.2,0.2
minecraft:light_blue_bed,0.2,0.2
minecraft:yellow_bed,0.2,0.2
minecraft:lime_bed,0.2,0.2
minecraft:pink_bed,0.2,0.2
minecraft:gray_bed,0.2,0.2
minecraft:light_gray_bed,0.2,0.2
minecraft:cyan_bed,0.2,0.2
minecraft:purple_bed,0.2,0.2
minecraft:blue_bed,0.2,0.2
minecraft:brown_bed,0.2,0.2
minecraft:green_bed,0.2,0.2
minecraft:red_bed,0.2,0.2
minecraft:black_bed,0.2,0.2
minecraft:powered_rail,0.7,0.7
minecraft:detector_rail,0.7,0.7
minecraft:sticky_piston,1.5,1.5
minecraft:cobweb,4,4
minecraft:grass,0,0
minecraft:fern,0,0
minecraft:dead_bush,0,0
minecraft:seagrass,0,0
minecraft:tall_seagrass,0,0
minecraft:piston,1.5,1.5
minecraft:piston_head,1.5,1.5
minecraft:white_wool,0.8,0.8
minecraft:orange_wool,0.8,0.8
minecraft:magenta_wool,0.8,0.8
minecraft:light_blue_wool,0.8,0.8
minecraft:yellow_wool,0.8,0.8
minecraft:lime_wool,0.8,0.8
minecraft:pink_wool,0.8,0.8
minecraft:gray_wool,0.8,0.8
minecraft:light_gray_wool,0.8,0.8
minecraft:cyan_wool,0.8,0.8
minecraft:purple_wool,0.8,0.8
minecraft:blue_wool,0.8,0.8
minecraft:brown_wool,0.8,0.8
minecraft:green_wool,0.8,0.8
minecraft:red_wool,0.8,0.8
minecraft:black_wool,0.8,0.8
minecraft:moving_piston,-1,0
minecraft:dandelion,0,0
minecraft:torchflower,0,0
minecraft:poppy,0,0
minecraft:blue_orchid,0,0
minecraft:allium,0,0
minecraft:azure_bluet,0,0
minecraft:red_tulip,0,0
minecraft:orange_tulip,0,0
minecraft:white_tulip,0,0
minecraft:pink_tulip,0,0
minecraft:oxeye_daisy,0,0
minecraft:cornflower,0,0
minecraft:wither_rose,0,0
minecraft:lily_of_the_valley,0,0
minecraft:brown_mushroom,0,0
minecraft:red_mushroom,0,0
minecraft:gold_block,3,6
minecraft:iron_block,5,6
minecraft:bricks,2,6
minecraft:tnt,0,0
minecraft:bookshelf,1.5,1.5
minecraft:chiseled_bookshelf,1.5,1.5
minecraft:mossy_cobblestone,2,6
minecraft:obsidian,50,1200
minecraft:torch,0,0
minecraft:wall_torch,0,0
minecraft:fire,0,0
minecraft:soul_fire,0,0
minecraft:spawner,5,5
minecraft:oak_stairs,2,3
minecraft:chest,2.5,2.5
minecraft:redstone_wire,0,0
minecraft:diamond_ore,3,3
minecraft:deepslate_diamond_ore,4.5,3
minecraft:diamond_block,5,6
minecraft:crafting_table,2.5,2.5
minecraft:wheat,0,0
minecraft:farmland,0.6,0.6
minecraft:furnace,3.5,3.5
minecraft:oak_sign,1,1
minecraft:spruce_sign,1,1
minecraft:birch_sign,1,1
minecraft:acacia_sign,1,1
minecraft:cherry_sign,1,1
minecraft:jungle_sign,1,1
minecraft:dark_oak_sign,1,1
minecraft:mangrove_sign,1,1
minecraft:bamboo_sign,1,1
minecraft:oak_door,3,3
minecraft:ladder,0.4,0.4
minecraft:rail,0.7,0.7
minecraft:cobblestone_stairs,2,6
minecraft:oak_wall_sign,1,1
minecraft:spruce_wall_sign,1,1
minecraft:birch_wall_sign,1,1
minecraft:acacia_wall_sign,1,1
minecraft:cherry_wall_sign,1,1
minecraft:jungle_wall_sign,1,1
minecraft:dark_oak_wall_sign,1,1
minecraft:mangrove_wall_sign,1,1
minecraft:bamboo_wall_sign,1,1
minecraft:oak_hanging_sign,1,1
minecraft:spruce_hanging_sign,1,1
minecraft:birch_hanging_sign,1,1
minecraft:acacia_hanging_sign,1,1
minecraft:cherry_hanging_sign,1,1
minecraft:jungle_hanging_sign,1,1
minecraft:dark_oak_hanging_sign,1,1
minecraft:crimson_hanging_sign,1,1
minecraft:warped_hanging_sign,1,1
minecraft:mangrove_hanging_sign,1,1
minecraft:bamboo_hanging_sign,1,1
minecraft:oak_wall_hanging_sign,1,1
minecraft:spruce_wall_hanging_sign,1,1
minecraft:birch_wall_hanging_sign,1,1
minecraft:acacia_wall_hanging_sign,1,1
minecraft:cherry_wall_hanging_sign,1,1
minecraft:jungle_wall_hanging_sign,1,1
minecraft:dark_oak_wall_hanging_sign,1,1
minecraft:mangrove_wall_hanging_sign,1,1
minecraft:crimson_wall_hanging_sign,1,1
minecraft:warped_wall_hanging_sign,1,1
minecraft:bamboo_wall_hanging_sign,1,1
minecraft:lever,0.5,0.5
minecraft:stone_pressure_plate,0.5,0.5
minecraft:iron_door,5,5
minecraft:oak_pressure_plate,0.5,0.5
minecraft:spruce_pressure_plate,0.5,0.5
minecraft:birch_pressure_plate,0.5,0.5
minecraft:jungle_pressure_plate,0.5,0.5
minecraft:acacia_pressure_plate,0.5,0.5
minecraft:cherry_pressure_plate,0.5,0.5
minecraft:dark_oak_pressure_plate,0.5,0.5
minecraft:mangrove_pressure_plate,0.5,0.5
minecraft:bamboo_pressure_plate,0.5,0.5
minecraft:redstone_ore,3,3
minecraft:deepslate_redstone_ore,4.5,3
minecraft:redstone_torch,0,0
minecraft:redstone_wall_torch,0,0
minecraft:stone_button,0.5,0.5
minecraft:snow,0.1,0.1
minecraft:ice,0.5,0.5
minecraft:snow_block,0.2,0.2
minecraft:cactus,0.4,0.4
minecraft:clay,0.6,0.6
minecraft:sugar_cane,0,0
minecraft:jukebox,2,6
minecraft:oak_fence,2,3
minecraft:pumpkin,1,1
minecraft:netherrack,0.4,0.4
minecraft:soul_sand,0.5,0.5
minecraft:soul_soil,0.5,0.5
minecraft:basalt,1.25,4.2
minecraft:polished_basalt,1.25,4.2
minecraft:soul_torch,0,0
minecraft:soul_wall_torch,0,0
minecraft:glowstone,0.3,0.3
minecraft:nether_portal,-1,0
minecraft:carved_pumpkin,1,1
minecraft:jack_o_lantern,1,1
minecraft:cake,0.5,0.5
minecraft:repeater,0,0
minecraft:white_stained_glass,0.3,0.3
minecraft:orange_stained_glass,0.3,0.3
minecraft:magenta_stained_glass,0.3,0.3
minecraft:light_blue_stained_glass,0.3,0.3
minecraft:yellow_stained_glass,0.3,0.3
minecraft:lime_stained_glass,0.3,0.3
minecraft:pink_stained_glass,0.3,0.3
minecraft:gray_stained_glass,0.3,0.3
minecraft:light_gray_stained_glass,0.3,0.3
minecraft:cyan_stained_glass,0.3,0.3
minecraft:purple_stained_glass,0.3,0.3
minecraft:blue_stained_glass,0.3,0.3
minecraft:brown_stained_glass,0.3,0.3
minecraft:green_stained_glass,0.3,0.3
minecraft:red_stained_glass,0.3,0.3
minecraft:black_stained_glass,0.3,0.3
minecraft:oak_trapdoor,3,3
minecraft:spruce_trapdoor,3,3
minecraft:birch_trapdoor,3,3
minecraft:jungle_trapdoor,3,3
minecraft:acacia_trapdoor,3,3
minecraft:cherry_trapdoor,3,3
minecraft:dark_oak_trapdoor,3,3
minecraft:mangrove_trapdoor,3,3
minecraft:bamboo_trapdoor,3,3
minecraft:stone_bricks,1.5,6
minecraft:mossy_stone_bricks,1.5,6
minecraft:cracked_stone_bricks,1.5,6
minecraft:chiseled_stone_bricks,1.5,6
minecraft:packed_mud,1,3
minecraft:mud_bricks,1.5,3
minecraft:infested_stone,0.75,0.75
minecraft:infested_cobblestone,1,0.75
minecraft:infested_stone_bricks,0.75,0.75
minecraft:infested_mossy_stone_bricks,0.75,0.75
minecraft:infested_cracked_stone_bricks,0.75,0.75
minecraft:infested_chiseled_stone_bricks,0.75,0.75
minecraft:brown_mushroom_block,0.2,0.2
minecraft:red_mushroom_block,0.2,0.2
minecraft:mushroom_stem,0.2,0.2
minecraft:iron_bars,5,6
minecraft:chain,5,6
minecraft:glass_pane,0.3,0.3
minecraft:melon,1,1
minecraft:attached_pumpkin_stem,0,0
minecraft:attached_melon_stem,0,0
minecraft:pumpkin_stem,0,0
minecraft:melon_stem,0,0
minecraft:vine,0.2,0.2
minecraft:glow_lichen,0.2,0.2
minecraft:oak_fence_gate,2,3
minecraft:brick_stairs,2,6
minecraft:stone_brick_stairs,1.5,6
minecraft:mud_brick_stairs,1.5,3
minecraft:mycelium,0.6,0.6
minecraft:lily_pad,0,0
minecraft:nether_bricks,2,6
minecraft:nether_brick_fence,2,6
minecraft:nether_brick_stairs,2,6
minecraft:nether_wart,0,0
minecraft:enchanting_table,5,1200
minecraft:brewing_stand,0.5,0.5
minecraft:cauldron,2,2
minecraft:water_cauldron,2,2
minecraft:lava_cauldron,2,2
minecraft:powder_snow_cauldron,2,2
minecraft:end_portal,-1,3600000
minecraft:end_portal_frame,-1,3600000
minecraft:end_stone,3,9
minecraft:dragon_egg,3,9
minecraft:redstone_lamp,0.3,0.3
minecraft:cocoa,0.2,3
minecraft:sandstone_stairs,0.8,0.8
minecraft:emerald_ore,3,3
minecraft:deepslate_emerald_ore,4.5,3
minecraft:ender_chest,22.5,600
minecraft:tripwire_hook,0,0
minecraft:tripwire,0,0
minecraft:emerald_block,5,6
minecraft:spruce_stairs,2,3
minecraft:birch_stairs,2,3
minecraft:jungle_stairs,2,3
minecraft:command_block,-1,3600000
minecraft:beacon,3,3
minecraft:cobblestone_wall,2,6
minecraft:mossy_cobblestone_wall,2,6
minecraft:flower_pot,0,0
minecraft:potted_torchflower,0,0
minecraft:potted_oak_sapling,0,0
minecraft:potted_spruce_sapling,0,0
minecraft:potted_birch_sapling,0,0
minecraft:potted_jungle_sapling,0,0
minecraft:potted_acacia_sapling,0,0
minecraft:potted_cherry_sapling,0,0
minecraft:potted_dark_oak_sapling,0,0
minecraft:potted_mangrove_propagule,0,0
minecraft:potted_fern,0,0
minecraft:potted_dandelion,0,0
minecraft:potted_poppy,0,0
minecraft:potted_blue_orchid,0,0
minecraft:potted_allium,0,0
minecraft:potted_azure_bluet,0,0
minecraft:potted_red_tulip,0,0
minecraft:potted_orange_tulip,0,0
minecraft:potted_white_tulip,0,0
minecraft:potted_pink_tulip,0,0
minecraft:potted_oxeye_daisy,0,0
minecraft:potted_cornflower,0,0
minecraft:potted_lily_of_the_valley,0,0
minecraft:potted_wither_rose,0,0
minecraft:potted_red_mushroom,0,0
minecraft:potted_brown_mushroom,0,0
minecraft:potted_dead_bush,0,0
minecraft:potted_cactus,0,0
