[18:10:36] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[18:10:36] [INIT] Loaded plugins:
[18:10:36] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[18:10:36] [INIT] - fr.iglee42.createcasing.compat.kubejs.KubeJSCompatPlugin
[18:10:36] [INIT] - com.wolfieboy09.kjscc.ComputerCraftPlugin
[18:10:36] [INIT] - pie.ilikepiefoo.kubejsoffline.OfflinePlugin
[18:10:36] [INIT] - dev.aika.taczjs.forge.TaCZJSPlugin
[18:10:36] [INIT] - com.tom.createores.kubejs.KubeJSExcavation
[18:10:36] [INIT] - pie.ilikepiefoo.AdditionsPlugin
[18:10:36] [INIT] - pie.ilikepiefoo.compat.jei.JEIKubeJSPlugin
[18:10:36] [INIT] - com.probejs.ProbeJSPlugin
[18:10:36] [INIT] - com.tacz.guns.compat.kubejs.TimelessKubeJSPlugin
[18:10:36] [INIT] - com.almostreliable.ponderjs.PonderJSPlugin
[18:10:36] [INIT] - dev.kostromdan.mods.netjs.NetJSPlugin
[18:10:36] [INIT] - io.github.techtastic.kubevs.plugin.KubeVSPlugin
[18:10:37] [INFO] example.js#5: Hello, World! (Loaded server scripts)
[18:10:37] [INFO] Loaded script server_scripts:example.js in 0.0 s
[18:10:37] [INFO] Loaded script server_scripts:recipesRemove.js in 0.003 s
[18:10:37] [INFO] Loaded 2/2 KubeJS server scripts in 0.036 s with 0 errors and 0 warnings
[18:10:37] [INFO] Scripts loaded
[18:10:37] [INFO] Initializing recipe event...
[18:10:41] [INFO] Processing recipes...
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_brown_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_swamp_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_yellow_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_gray_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_swamp_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_magenta_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/hard_steel_block_wl_black[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 'tfmg:crafting/epic_party_light_bulb[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_camo_snow_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_rotbraun_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_black_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_light_gray_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_29_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/steel_block_wl_black[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_rotbraun_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_pink_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_camo_swamp_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
